Raman_shift_cm-1	Intensity_a.u.
1200.0	0.027441731019022354
1201.0	0.020971654113400868
1202.0	0.026333866120601252
1203.0	0.03358386741212871
1204.0	0.024830906999990052
1205.0	0.031637669848848575
1206.0	0.021861404245284117
1207.0	0.02862427953616442
1208.0	0.023684033245194937
1209.0	0.022391843594711858
1210.0	0.03418598343045281
1211.0	0.022546590070748853
1212.0	0.03973236830266177
1213.0	0.02125933716515968
1214.0	0.02842344760609087
1215.0	0.029907556320731145
1216.0	0.03334346617113213
1217.0	0.02500176776699354
1218.0	0.03147179547771363
1219.0	0.033874807042881726
1220.0	0.042597026174289995
1221.0	0.028256511140648567
1222.0	0.03231427809595037
1223.0	0.039455378692551536
1224.0	0.02884069597666992
1225.0	0.03141985299950237
1226.0	0.028722958622315303
1227.0	0.03792643212199482
1228.0	0.038259360902052675
1229.0	0.04709364376601212
1230.0	0.025543072081617425
1231.0	0.025749892059978727
1232.0	0.04015627660066566
1233.0	0.04807346754761111
1234.0	0.03220545483166824
1235.0	0.03890047770216135
1236.0	0.03670717324653687
1237.0	0.04558196935791922
1238.0	0.03730986959537048
1239.0	0.038191993085325796
1240.0	0.04046458031773885
1241.0	0.03764289684903313
1242.0	0.04753277199050277
1243.0	0.04579203271729957
1244.0	0.04515670739112309
1245.0	0.04091141936592122
1246.0	0.03255807034633901
1247.0	0.04249994051378381
1248.0	0.040729457817866244
1249.0	0.04332797345311319
1250.0	0.04445419473757322
1251.0	0.045565663779609925
1252.0	0.04202712773509413
1253.0	0.05028809045017758
1254.0	0.04113382521297021
1255.0	0.03718840827707095
1256.0	0.045550821240098426
1257.0	0.04590438546938318
1258.0	0.03658714465868275
1259.0	0.039646463170436484
1260.0	0.04813084200291493
1261.0	0.040173745272238624
1262.0	0.048029737034299934
1263.0	0.047055344142589155
1264.0	0.04256604642572468
1265.0	0.04933950293740354
1266.0	0.04248737585271952
1267.0	0.0322564121339421
1268.0	0.045074022446952175
1269.0	0.04348609588393716
1270.0	0.04813467047270642
1271.0	0.04224745866294154
1272.0	0.04231886748190927
1273.0	0.038077255392892376
1274.0	0.03377021451574088
1275.0	0.04439325407165252
1276.0	0.04019450483866621
1277.0	0.0387632945205245
1278.0	0.0436043031862951
1279.0	0.04528839557558189
1280.0	0.056840356574170574
1281.0	0.03709123845814092
1282.0	0.0376647181452227
1283.0	0.036965111038569386
1284.0	0.04279993664274
1285.0	0.03639809886808702
1286.0	0.03869713545452872
1287.0	0.038537563428443444
1288.0	0.03679171410545126
1289.0	0.037260100704490935
1290.0	0.037552623472527094
1291.0	0.03200866464073468
1292.0	0.03511144145234741
1293.0	0.036949224266570234
1294.0	0.033615757463494156
1295.0	0.03761234435057694
1296.0	0.039855910242438584
1297.0	0.039178771326058424
1298.0	0.034420636874592625
1299.0	0.033585035242275706
1300.0	0.03875369441849068
1301.0	0.03321219325576036
1302.0	0.03366369051004606
1303.0	0.03493281337138743
1304.0	0.02655577996227896
1305.0	0.034048583853313094
1306.0	0.0213595655608963
1307.0	0.041484913572683704
1308.0	0.026993665469473394
1309.0	0.027840179688449092
1310.0	0.024130777480176203
1311.0	0.028830593447419787
1312.0	0.0323271606151922
1313.0	0.030337260081202775
1314.0	0.02413128281053498
1315.0	0.019500891899732264
1316.0	0.03700220926881991
1317.0	0.02838592241425197
1318.0	0.028932350589334032
1319.0	0.024314421550495312
1320.0	0.027987307140712063
1321.0	0.016629360403537106
1322.0	0.024008693846187
1323.0	0.029849504846668304
1324.0	0.019406257104060427
1325.0	0.028341517169509382
1326.0	0.031133367064144282
1327.0	0.022363016938225927
1328.0	0.019096375709612468
1329.0	0.03308389341849118
1330.0	0.0229932041860677
1331.0	0.021213327891160965
1332.0	0.02515609086417647
1333.0	0.024118454229651212
1334.0	0.0376196488268661
1335.0	0.035410858992476826
1336.0	0.044590640850981585
1337.0	0.049425852516085146
1338.0	0.056550500105060235
1339.0	0.06401095342655602
1340.0	0.07092974105260283
1341.0	0.08663901956302453
1342.0	0.10468533681269074
1343.0	0.10457849686144619
1344.0	0.12491096500465097
1345.0	0.14870693728155107
1346.0	0.16639555821086363
1347.0	0.19808629180267304
1348.0	0.22174668769059172
1349.0	0.2591736416755918
1350.0	0.2968023327540831
1351.0	0.33791468756282206
1352.0	0.3684209274010699
1353.0	0.41525030151150844
1354.0	0.45595777269697846
1355.0	0.5168689443660304
1356.0	0.5607141136364225
1357.0	0.6016856786859824
1358.0	0.6491295119029138
1359.0	0.7057881159750903
1360.0	0.74875123651895
1361.0	0.7987336339315952
1362.0	0.8430155648713631
1363.0	0.89282742860022
1364.0	0.907328532197743
1365.0	0.9456122633363291
1366.0	0.9590911222581763
1367.0	0.9780639402147819
1368.0	0.9838602467480121
1369.0	1.0
1370.0	0.9933307737694759
1371.0	0.9826635261073321
1372.0	0.9693236511876442
1373.0	0.9355864017087053
1374.0	0.9089258433591627
1375.0	0.8818354925394398
1376.0	0.8457529688051241
1377.0	0.8015299737805676
1378.0	0.7504017990574239
1379.0	0.7058328192064566
1380.0	0.6488882446555496
1381.0	0.6003977975405732
1382.0	0.5588435822889191
1383.0	0.4986855768887483
1384.0	0.4567989981990999
1385.0	0.4174320006692408
1386.0	0.36561634982626046
1387.0	0.32289286573294496
1388.0	0.2862095212527831
1389.0	0.25613288006094154
1390.0	0.21391750955329342
1391.0	0.18319622076833506
1392.0	0.16233965429839609
1393.0	0.1390145508082512
1394.0	0.11356849184554559
1395.0	0.1014372273144021
1396.0	0.08183462329976862
1397.0	0.0754975084916792
1398.0	0.056735912590238774
1399.0	0.05025277782192333
1400.0	0.03972332538723651
1401.0	0.044281655324984015
1402.0	0.0199630598475586
1403.0	0.028187787264243234
1404.0	0.01590467446418412
1405.0	0.013565621855044271
1406.0	0.008792103867410113
1407.0	0.0129103600318142
1408.0	0.014253312336088711
1409.0	0.0035203078849749218
1410.0	0.007683397654368666
1411.0	0.012854013697319883
1412.0	0.00798942571031919
1413.0	0.007375436295952016
1414.0	0.00912316266857169
1415.0	0.014856549095049958
1416.0	0.003065253959029697
1417.0	0.0
1418.0	0.009998074154561195
1419.0	0.011709551568537719
1420.0	0.006431433443150868
1421.0	0.011982752341801774
1422.0	0.0024950762546968406
1423.0	0.02072402143042903
1424.0	0.019402814904012494
1425.0	0.012132982611272923
1426.0	0.013728300339618594
1427.0	0.021399188307968442
1428.0	0.013886706537226052
1429.0	0.012005762305731178
1430.0	0.012473201927841309
1431.0	0.006212714705765993
1432.0	0.010839594212261537
1433.0	0.015270977984025672
1434.0	0.004589203431266822
1435.0	0.011517551777522792
1436.0	0.009760788298634861
1437.0	0.016912798193472817
1438.0	0.019224106342649355
1439.0	0.019120793670357655
1440.0	0.014470080231041989
1441.0	0.02767912528573578
1442.0	0.028195541073205755
1443.0	0.02519166031530307
1444.0	0.020307320053354765
1445.0	0.01834756556972386
1446.0	0.017017929360017142
1447.0	0.014953626317143729
